n,p_h1,p_hc,bf_h1,bf_hc,fit_h1,fit_hc,comp_h1,comp_hc,n_min,n_max,bf_thresh,eta,intercept,beta_1,hypothesis,delta,prop_fail,sim_id
1000,0.0013,0.8845,0.0644066917030602,0.0799102504607007,0.0605094765047079,0.0739971219150945,0.5,0.5,999,1000,5,0.9,-1,0,non-inferiority,0.3,0,32
1000,0.1057,0.1249,1.07498334482723,3.03365357751177,0.518068420889776,0.752085799937022,0.5,0.5,999,1000,5,0.9,-1,0,superiority,0.3,0,33
1000,0,0.9976,7.68643893571059e-11,0.00271831074513557,4.48202576270288e-12,0.000162401961110375,0.0550980120773686,0.0563842593871777,999,1000,5,0.9,-1,1,equivalence,0.3,0,34
174,0.9072,0.9902,164.572759380592,0.000290597424375234,0.993960359157261,0.000290513002045093,0.5,0.5,173,174,5,0.9,-1,1,non-inferiority,0.3,0,35
136,0.9747,0.8968,3463.58645043948,0.044536222207066,0.999711365262693,0.0426373171750451,0.5,0.5,135,136,5,0.9,-1,1,superiority,0.3,0,36
393,0.9074,0.8084,5.39974303028999,19.8248167783755,0.225058438525012,0.000196072542821668,0.0510389401040807,9.89209923329959e-06,392,393,10,0.8,-1,0,equivalence,0.3,0,37
1000,3e-04,0.7631,0.162218755483685,0.000405675369909382,0.139576783388058,0.00040551086413957,0.5,0.5,999,1000,10,0.8,-1,0,non-inferiority,0.3,0,38
1000,0.1195,0.0721,2.24603832813722,1.29982402141106,0.691932165023491,0.565184122484968,0.5,0.5,999,1000,10,0.8,-1,0,superiority,0.3,0,39
1000,0,0.3302,3.34506791621599e-05,31.5941808149541,1.99166911002522e-06,0.000486718806899711,0.0561947204675317,1.54125949665684e-05,999,1000,10,0.8,-1,1,equivalence,0.3,0,40
187,0.7961,0.9782,2529.16606632921,2.42322225324809e-06,0.999604769025517,2.42321638125623e-06,0.5,0.5,186,187,10,0.8,-1,1,non-inferiority,0.3,0,41
131,0.9225,0.8018,6.57618648490812,0.0329502393604601,0.868007472889954,0.0318991545816,0.5,0.5,130,131,10,0.8,-1,1,superiority,0.3,0,42
564,0.95,0.9018,58.9999908899552,4.48983750427903e-20,0.768133317463779,8.84691565256131e-22,0.0531643967093713,0.0193235541172911,563,564,10,0.9,-1,0,equivalence,0.3,0,43
1000,7e-04,0.792,0.00400412507159187,0.000326232159251634,0.00398815599617815,0.000326125766538629,0.5,0.5,999,1000,10,0.9,-1,0,non-inferiority,0.3,0,44
1000,0.1148,0.0943,10.8059924627139,0.708890266097575,0.915297252377703,0.414824918931979,0.5,0.5,999,1000,10,0.9,-1,0,superiority,0.3,0,45
1000,0,0.079,2.52812659287558e-12,31.6042497596357,1.4623529206165e-13,0.000303266461950336,0.0546804427947127,9.59856825893945e-06,999,1000,10,0.9,-1,1,equivalence,0.3,0,46
258,0.902,0.9973,38.2489529721417,0.000610271023641833,0.974521613335525,0.000609898820064594,0.5,0.5,257,258,10,0.9,-1,1,non-inferiority,0.3,0,47
178,0.972,0.8989,121.164177095956,0.00518880028722548,0.991814294306468,0.00516201561909844,0.5,0.5,177,178,10,0.9,-1,1,superiority,0.3,0,48
